tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve	maxQueueLength	time	maxWaitingTime	time	averageWaitTime	maxTramDelay	averageTramDelay/total	averageTramDelay/delayed	fractionOfRunsDelayed	passengersNotArrived
																3	1002	0	332	0	276	0	59	171,1393814	22,8813168	859,3470158	5,138946327	301,2897116	3,541045243	7,952839317	0,445255474	0
																3	1001	0	317	0	266	0	44	107,5499501	20,77972885	405,4255716	4,726377951	171,8865678	2,6329251	5,913290798	0,445255474	0
																3	951	0	274	0	277	0	45	154,7979114	23,33521822	900,3592443	5,100072122	900,9494414	1,141931729	5,394642995	0,211678832	0
																3	989	0	282	0	267	0	30	80,68383266	22,43695451	900,9901451	4,855808348	624,0637624	3,38260823	6,527004612	0,518248175	0
																3	997	0	298	0	308	0	42	654,5915524	22,44862073	195,9723307	4,951848291	195,9723307	3,338654032	7,260247657	0,459854015	0
																3	1097	0	339	0	305	0	40	103,9105466	18,66537128	403,723069	4,548353491	514,3211188	1,84794321	5,62596044	0,328467153	0
																3	1003	0	280	0	261	0	33	184,8715801	18,53284244	184,8715801	4,72467466	513,9206934	2,13714219	6,809034419	0,313868613	0
																3	1038	0	322	0	300	0	37	125,2041071	17,31742861	554,6015836	4,392024051	516,0204715	1,445285479	4,125085637	0,350364964	0
																3	1051	0	319	0	306	0	47	155,6519097	18,43157442	504,2760967	4,603641777	856,7899791	3,010612509	6,54688752	0,459854015	0
																3	982	0	283	0	258	0	48	183,4170628	18,43492848	287,5814408	5,384013456	463,039856	2,220215547	6,207541426	0,357664234	0
																3	968	0	298	0	251	0	33	94,03465942	18,51108524	353,0506961	4,372033601	611,4575	1,002056873	4,290055986	0,233576642	0
																3	1042	0	329	0	263	0	50	169,7103011	19,74766902	200,1988763	4,838152917	200,1988763	2,604910121	5,947878109	0,437956204	0
																3	967	0	276	0	298	0	27	132,2694213	21,25098651	208,5557026	4,526259354	902,5721737	1,363112949	4,55479205	0,299270073	0
										0,999976808	#DEEL/0!	0,024065179	#DEEL/0!	4,04636E-06	#DEEL/0!	3	1025	0	324	0	282	0	40	94,35039015	20,49621591	782,7349053	4,684623688	565,6701	3,295167874	7,053718731	0,467153285	0
																4	2657	0	120	0	1208	0	157	620,7541423	27,90388857	189,19808	5,480416223	230,6806126	8,503096306	14,38178017	0,591240876	0
																4	2677	0	114	0	1201	0	97	685,5317255	20,89397097	541,9554195	4,689088249	516,5465471	2,529887121	6,080605888	0,416058394	0
																4	2558	0	93	0	1246	0	167	704,3870619	22,46140176	786,8376667	4,804838596	173,2408647	3,091654664	7,059278149	0,437956204	0
																4	2591	0	101	0	1132	0	140	685,2754969	19,84536911	355,9039383	4,786012992	747,7541175	2,680454386	5,922939531	0,452554745	0
																4	2558	0	123	0	1189	0	107	661,982461	22,0026241	850,6077466	4,748391691	905,9475571	1,972117397	5,403601668	0,364963504	0
																4	2689	0	119	0	1287	0	152	629,9331683	21,77824757	458,5889137	4,893301635	569,4518074	2,036140015	4,809503139	0,423357664	0
																4	2642	0	119	0	1245	0	218	682,4738524	23,14091108	359,8241434	5,518432006	915,2901573	5,087688732	8,936068669	0,569343066	0
																4	2676	0	89	0	1269	0	139	694,9766306	26,67245025	228,8601968	4,82165568	468,3996924	3,647606846	6,940585249	0,525547445	0
																4	2572	0	97	0	1235	0	158	686,7478923	17,42497299	555,0845458	5,197953455	723,6028443	2,399194501	6,444895033	0,372262774	0
																4	2552	0	121	0	1227	0	116	638,2041395	17,26157721	454,286737	4,393026394	919,2769768	2,204083213	5,297533337	0,416058394	0
																4	2580	0	99	0	1214	0	163	639,3201673	21,23486745	235,383225	4,926164972	187,148748	5,336174323	10,29656172	0,518248175	0
																4	2622	0	116	0	1237	0	265	701,0312417	26,38104372	167,4472742	6,167277477	760,678963	4,774143727	8,494255721	0,562043796	0
																4	2603	0	84	0	1188	0	139	684,847036	30,54031582	182,4684362	4,945527133	182,4684362	3,768157395	7,169966154	0,525547445	0
																4	2626	0	108	0	1193	0	115	684,3149135	20,09400746	848,6993648	4,716436613	206,7746088	3,057477998	6,54491384	0,467153285	0
																4	2546	0	109	0	1186	0	144	714,2170231	19,27449028	506,6681144	4,683137659	192,691963	2,483816407	5,401315044	0,459854015	0
																4	2654	0	127	0	1217	0	188	680,6742497	27,02541464	743,4526473	6,0983165	810,0738818	2,540381785	6,824162834	0,372262774	0
																4	2718	0	115	0	1256	0	162	711,8816086	19,03320651	506,3450893	5,168355702	794,538864	2,562382785	6,052524853	0,423357664	0
																4	2597	0	107	0	1168	0	168	715,5345925	22,69566027	786,570559	4,912473322	571,7286181	2,592334669	6,457269995	0,401459854	0
																4	2572	0	103	0	1075	0	123	705,0229716	22,76014475	768,7966706	5,165194263	721,1584958	2,415297394	5,090703739	0,474452555	0
																4	2585	0	114	0	1195	0	152	653,6477342	22,48033581	310,2634348	4,64578912	415,9447688	2,538039614	6,686758214	0,379562044	0
																4	2688	0	120	0	1271	0	123	684,5964061	25,13666769	854,175211	5,079927486	519,6627585	2,94526192	6,838998017	0,430656934	0
																4	2624	0	114	0	1098	0	110	724,7846179	21,63769511	512,4100466	4,965652072	254,3810535	7,828523628	13,24083626	0,591240876	0
																4	2660	0	102	0	1289	0	195	692,4174841	25,10443343	762,8308157	5,11958931	621,4885151	3,469392238	6,790096237	0,510948905	0
																4	2540	0	85	0	1159	0	135	659,3868756	26,71254721	464,0144225	5,084343697	470,2708566	2,603786396	5,753528004	0,452554745	0
																4	2680	0	96	0	1261	0	131	683,5023795	23,94055547	885,9314984	5,030023555	768,956634	2,719494958	5,731858604	0,474452555	0
																4	2583	0	117	0	1170	0	109	705,5385786	20,24458477	507,5623542	4,821379817	909,9139913	2,880002316	6,070158727	0,474452555	0
																4	2598	0	110	0	1140	0	120	720,8399378	23,36531235	902,5445441	4,941997858	611,3854967	2,369729133	5,797373058	0,408759124	0
																4	2667	0	115	0	1225	0	162	650,4104019	17,04323971	187,7107435	4,664792373	516,4845722	2,469951557	5,050497959	0,489051095	0
																4	2572	0	116	0	1157	0	92	670,4933522	18,9554565	296,8252401	4,275119722	565,6833394	2,252063429	5,319529135	0,423357664	0
																4	2626	0	115	0	1213	0	134	682,8482207	18,04320314	168,8547078	4,500010995	465,5499073	2,607770758	6,055332098	0,430656934	0
																4	2652	0	100	0	1138	0	117	721,1869969	29,08610429	275,6590904	4,891382131	202,3977295	3,500560185	7,493386646	0,467153285	0
																4	2537	0	100	0	1192	0	137	687,5748829	16,79174539	353,421115	4,539203552	361,9407209	1,482488867	5,344762493	0,277372263	0
																4	2567	0	98	0	1190	0	117	671,7873829	25,99917869	780,3232201	4,77651449	183,4090694	4,340951541	8,61899074	0,503649635	0
																4	2589	0	110	0	1201	0	130	682,7805943	23,05669243	560,4087821	4,465608471	565,6067454	1,418340791	3,965565069	0,357664234	0
																4	2560	0	117	0	1180	0	123	674,3549505	20,48042563	849,4254371	4,777372909	613,6605167	2,310560417	5,275779619	0,437956204	0
																4	2599	0	102	0	1138	0	115	671,4257618	20,53796058	786,1037104	4,652549377	141,5609822	3,259841208	6,379974935	0,510948905	0
																4	2588	0	125	0	1086	0	145	687,4137058	26,49555587	763,1335297	5,172072977	515,8280838	3,908366144	7,760089301	0,503649635	0
																4	2576	0	107	0	1217	0	113	653,4781666	19,69314126	506,5365911	4,614870418	611,2970013	2,888011404	5,572641723	0,518248175	0
																4	2660	0	99	0	1225	0	113	618,6439797	29,97585987	279,6980999	5,367990596	214,2511125	5,130736296	8,786385907	0,583941606	0
																4	2666	0	96	0	1258	0	179	687,8827862	21,69546991	852,1890309	4,899752769	623,5858911	2,922662305	6,786520946	0,430656934	0
																4	2641	0	118	0	1233	0	149	685,5368257	28,4589014	297,9292861	5,100002431	308,4491341	3,66472715	6,60615289	0,554744526	0
																4	2604	0	103	0	1256	0	167	688,2316813	30,75103228	277,6338635	5,19066565	224,4411393	4,569228459	8,236635512	0,554744526	0
																4	2615	0	113	0	1203	0	109	687,407246	36,92160063	217,5214484	5,249292981	217,5214484	3,729934329	7,514720633	0,496350365	0
																4	2561	0	97	0	1188	0	121	712,9589823	19,00095725	805,9863865	4,731074946	750,1522513	2,598916558	5,651612197	0,459854015	0
																4	2668	0	117	0	1256	0	124	649,174478	20,25278456	248,9424854	4,600997866	464,8768778	1,904557318	5,017776011	0,379562044	0
																4	2636	0	92	0	1278	0	175	642,8987069	24,59860483	773,8603988	5,346540095	655,4379085	3,853699828	6,599460955	0,583941606	0
																4	2696	0	110	0	1326	0	134	716,5042677	18,13176653	329,3352165	4,946923007	615,7751104	3,306030384	6,039015502	0,547445255	0
																4	2559	0	110	0	1107	0	187	638,1338574	23,0369607	284,0255711	5,494778874	638,5316598	4,891011438	7,701937552	0,635036496	0
																4	2537	0	111	0	1192	0	114	681,1459888	16,22706167	352,8376667	4,690628287	466,6749355	2,32696881	6,782866531	0,343065693	0
																4	2596	0	90	0	1251	0	117	699,493792	25,11057245	181,4095582	4,808980949	181,4095582	2,848499968	7,22674992	0,394160584	0
																4	2572	0	122	0	1211	0	117	697,5415219	23,88076582	197,2802653	4,585905028	213,4550696	3,252340525	7,426177533	0,437956204	0
																4	2581	0	126	0	1176	0	155	675,436	27,51388828	786,4944957	5,049401926	174,0221425	5,351952296	10,1835759	0,525547445	0
																4	2614	0	106	0	1189	0	122	683,3548999	26,85734524	763,6693872	4,718595764	763,6693872	2,856516869	6,865663351	0,416058394	0
																4	2671	0	115	0	1279	0	138	692,8323666	20,05395665	210,1485299	5,028844439	417,7449817	2,654247544	5,865030863	0,452554745	0
																4	2674	0	112	0	1242	0	130	643,9132387	22,01975057	783,4360761	4,587347518	515,5145222	2,345720138	6,301248214	0,372262774	0
																4	2491	0	84	0	1166	0	217	691,4954102	20,89447838	691,4954102	5,085753332	693,9450866	4,852858524	8,747916023	0,554744526	0
																4	2664	0	112	0	1253	0	188	670,5410664	19,66329362	239,5899807	4,872689268	187,5035605	3,516952478	6,883178422	0,510948905	0
																4	2570	0	98	0	1196	0	126	650,9262669	25,85411223	156,8776905	4,744411735	416,0549436	2,853759332	6,859035587	0,416058394	0
																4	2569	0	113	0	1188	0	122	709,0178447	20,12334767	179,4239889	4,819548496	619,410276	3,150408214	7,572033778	0,416058394	0
																4	2590	0	110	0	1215	0	135	664,5964664	25,64718492	781,6863615	5,130275458	519,4568348	3,619911675	7,748873428	0,467153285	0
																4	2596	0	91	0	1224	0	91	683,937597	27,86280403	347,531381	4,836966304	261,4173165	4,97551653	10,02420242	0,496350365	0
																4	2621	0	114	0	1252	0	148	612,1678717	19,32281128	790,8837426	4,88376007	791,4487771	2,848328266	6,19398369	0,459854015	0
																4	2572	0	112	0	1242	0	110	653,018376	20,81760099	67,0796415	4,61633798	567,1782686	4,217692204	7,915394959	0,532846715	0
																4	2646	0	113	0	1253	0	141	673,1595397	26,22041056	361,9454705	4,783239464	362,5967589	2,281311352	5,123600905	0,445255474	0
																4	2640	0	109	0	1218	0	175	672,4541796	21,44216024	277,6857038	4,984098389	277,6857038	5,098591972	8,841862027	0,576642336	0
																4	2602	0	105	0	1235	0	218	710,7900974	21,82826864	710,7900974	5,457197166	614,2996445	3,155258054	6,088314836	0,518248175	0
																4	2613	0	115	0	1252	0	224	690,4002949	21,32902804	234,4939654	5,226254285	749,4174082	2,55340418	5,642199558	0,452554745	0
																4	2624	0	104	0	1211	0	186	690,838094	24,52202413	845,6469873	4,890810757	845,6469873	3,024226005	6,576491472	0,459854015	0
																4	2679	0	114	0	1275	0	217	678,223469	25,92837394	142,0206527	5,228155635	183,3393878	6,323427562	11,86725447	0,532846715	0
																4	2656	0	102	0	1258	0	133	611,3450218	23,2014986	409,8635225	4,887391161	521,7079303	4,374773718	7,221012041	0,605839416	0
																4	2623	0	100	0	1235	0	134	656,3985518	21,80803634	307,050502	4,766505706	461,2226656	1,949381642	5,682240105	0,343065693	0
																4	2599	0	107	0	1216	0	135	685,0469056	25,52343907	412,4519249	5,01060945	615,9459918	3,048309105	6,327550718	0,481751825	0
																4	2647	0	112	0	1254	0	184	688,0761789	17,86443886	736,4376667	4,930114489	566,2634705	2,348040144	5,848754542	0,401459854	0
																4	2671	0	107	0	1262	0	114	661,3852732	23,48895681	760,6422631	4,667851538	760,6422631	2,694996566	6,153575491	0,437956204	0
																4	2694	0	121	0	1283	0	118	607,8338145	24,09490666	778,3609493	5,043551028	415,7856863	3,168703697	7,001813007	0,452554745	0
																4	2531	0	117	0	1170	0	134	619,3485214	25,45487813	762,0511806	5,177575221	762,0511806	4,310611088	8,684613515	0,496350365	0
																4	2579	0	110	0	1216	0	127	658,729285	21,62422945	210,2592714	4,860291302	210,2592714	3,075242398	6,105916066	0,503649635	0
																4	2664	0	111	0	1240	0	97	654,6537646	19,15686959	355,5501078	4,34935799	550,3029228	1,92543664	4,470929147	0,430656934	0
																4	2645	0	129	0	1152	0	135	722,0760904	30,2293914	780,5254117	5,083432428	780,5254117	5,111214802	10,14835403	0,503649635	0
																4	2652	0	116	0	1256	0	94	670,6274023	19,77058791	201,4882215	4,371333829	201,4882215	5,634376432	10,72096627	0,525547445	0
																4	2620	0	107	0	1121	0	128	722,2300331	24,59651999	177,9801336	4,863064992	905,2988398	1,925476185	5,612558241	0,343065693	0
																4	2573	0	118	0	1193	0	96	683,3191683	31,83231173	275,7619155	5,111569943	343,8782016	3,675012951	7,628435973	0,481751825	0
																4	2552	0	128	0	1172	0	126	652,8933575	22,88307074	776,1741423	4,832384626	466,2716314	1,778875735	5,944048189	0,299270073	0
																4	2589	0	111	0	1228	0	121	646,7320391	21,74811762	774,1718774	4,695014115	774,1718774	2,240103828	6,263147438	0,357664234	0
																4	2538	0	121	0	1166	0	203	653,823955	33,85232533	296,737017	5,52555509	296,737017	4,728545846	8,413127025	0,562043796	0
																4	2720	0	118	0	1317	0	169	690,8343712	21,6486375	458,5091046	5,062418297	414,6603118	3,850063621	7,756745825	0,496350365	0
																4	2616	0	126	0	1185	0	110	670,6137209	26,80151435	864,6929455	5,037168093	302,2814372	3,822368144	7,700947585	0,496350365	0
																4	2573	0	107	0	1220	0	146	642,2191503	19,28156684	407,0228552	4,847830458	173,1611146	2,839120374	5,478302694	0,518248175	0
																4	2637	0	129	0	1272	0	127	673,1317546	25,60873581	201,6376667	4,804529983	903,0699403	1,454631502	5,244329362	0,277372263	0
																4	2599	0	133	0	1162	0	176	678,9221485	24,30514422	903,2833285	5,263346854	624,9858165	3,852278435	6,854053839	0,562043796	0
																4	2576	0	99	0	1202	0	174	656,1619306	22,71233535	196,8124489	5,087327352	567,7103625	3,580819822	7,008175938	0,510948905	0
																4	2736	0	139	0	1281	0	195	706,3188768	17,2910755	405,1183709	4,813500164	617,2754032	1,966481731	4,898327221	0,401459854	0
																4	2557	0	86	0	1190	0	139	667,2054262	20,7342882	508,7254694	4,879638966	517,9080852	2,481241377	6,41377488	0,386861314	0
																4	2556	0	107	0	1109	0	130	684,266584	18,38494025	556,7783711	4,30794636	518,3145145	1,436311924	4,576156596	0,313868613	0
																4	2635	0	112	0	1235	0	118	664,7582536	16,59982458	755,4476087	4,759196192	858,6607847	3,317557749	6,683903112	0,496350365	0
																4	2572	0	94	0	1219	0	183	688,5851697	18,94563429	288,7493529	4,859139105	464,295196	2,336396575	5,425192046	0,430656934	0
																4	2658	0	100	0	1277	0	148	684,806181	15,99684906	403,3063932	4,311713327	612,8164862	1,188847058	3,787722022	0,313868613	0
																4	2608	0	108	0	1194	0	146	686,0249881	19,23880198	201,8683296	4,853749988	363,1790234	2,775877425	5,592576577	0,496350365	0
																4	2568	0	97	0	1159	0	95	705,7587577	23,37943014	904,7035851	4,493426669	905,0497137	1,455509506	4,334887008	0,335766423	0
										1	#DEEL/0!	4,1312E-174	#DEEL/0!	0,000643161	#DEEL/0!	4	2629	0	100	0	1301	0	169	686,3767401	21,97378783	784,7685443	4,884031026	799,1889245	3,545086528	6,653107594	0,532846715	0
																5	9034	0	347	0	3461	0	538	624,3305367	22,09874142	135,0293021	5,793780047	232,4540647	9,100429182	13,85287553	0,656934307	0
																5	8944	0	300	0	3197	0	346	686,3788635	19,66721761	901,7212875	5,454973201	525,1873356	3,166993469	5,943535688	0,532846715	0
																5	9060	0	285	0	3340	0	456	707,6395786	25,14647665	788,5226667	5,621985287	176,2237174	3,722902713	6,800502289	0,547445255	0
																5	8947	0	274	0	3242	0	512	690,8537946	19,50281394	357,1058667	5,600113719	749,432988	3,504324819	6,858464288	0,510948905	0
																5	8743	0	285	0	3249	0	290	664,2632759	21,10506841	851,9085884	5,17039766	908,1739193	2,189572124	5,659837377	0,386861314	0
																5	8857	0	268	0	3153	0	455	631,1942763	23,43270608	461,7006471	5,466956431	573,5235648	2,837956015	5,634782234	0,503649635	0
																5	9043	0	293	0	3383	0	583	683,4255577	22,56122813	362,8636511	6,313379167	916,8211251	5,628524412	8,863308558	0,635036496	0
																5	8884	0	347	0	3334	0	343	642,0305834	27,86917663	231,5711655	5,839917255	571,5924986	4,139300238	7,876168508	0,525547445	0
																5	8982	0	288	0	3326	0	571	654,7839055	21,71858168	466,284388	6,298360019	468,5007986	3,382921289	6,716814734	0,503649635	0
																5	9038	0	375	0	3353	0	407	616,8760593	23,39217014	329,2010414	5,635616859	920,2113084	3,051975705	5,650279345	0,540145985	0
																5	8807	0	260	0	3297	0	412	643,5496486	24,11601846	241,1982513	5,657211138	189,398427	5,922484327	9,434655265	0,627737226	0
																5	8972	0	334	0	3575	0	806	704,1855319	26,94375789	704,1855319	6,97032521	763,3592457	5,521120007	8,898746365	0,620437956	0
																5	8747	0	340	0	3159	0	315	670,485318	28,31428343	184,9577616	5,503461701	184,9577616	4,866811915	7,752944563	0,627737226	0
																5	8676	1	270	0	3260	0	386	687,6949695	25,92099362	745,3182381	5,419497038	208,7219193	3,450022296	6,752186493	0,510948905	0
																5	8846	0	303	0	3424	0	386	717,4249215	18,49457474	508,1096585	5,306603128	193,4424799	2,862290727	5,766673964	0,496350365	0
																5	8947	0	323	0	3309	0	589	682,6373788	27,19944366	744,4203257	6,493665045	812,1467664	3,119063792	7,005110484	0,445255474	0
																5	8964	0	287	0	3442	0	615	665,9662329	20,40905783	665,9662329	5,900504348	795,3310753	3,285672324	6,339959273	0,518248175	0
																5	8954	0	326	0	3452	0	407	716,8843068	22,33282152	937,125308	5,443008433	573,2010317	3,249032899	6,1821876	0,525547445	0
																5	9061	0	287	0	3262	0	470	708,7118525	21,40464278	769,8721861	6,05661418	724,3138557	3,193175444	5,681364101	0,562043796	0
																5	9137	1	392	1	3393	0	422	656,9354486	21,61799971	312,9685658	5,538274094	621,7451176	3,17528296	6,692519469	0,474452555	0
																5	8991	0	276	0	3511	0	354	686,1284838	25,17017648	856,731705	5,589021804	520,3699307	3,381577877	6,525016467	0,518248175	0
																5	8977	0	272	0	3234	0	310	639,0918196	25,86734981	131,6655374	5,752338777	268,7552203	8,556552827	13,47411192	0,635036496	0
																5	9180	0	291	0	3603	0	514	623,8429336	25,07117647	765,5490633	5,970827371	625,7153077	4,344454995	7,085599218	0,613138686	0
																5	8911	0	274	0	3515	0	464	661,209781	25,32267136	467,9070508	5,701382421	473,4950991	3,144682719	6,154593321	0,510948905	0
																5	8866	0	262	0	3441	0	482	688,4995595	27,22608451	832,4061682	5,895016906	832,4061682	3,309693674	6,211342922	0,532846715	0
																5	8963	0	290	0	3204	0	295	707,5501611	20,2297733	508,5632819	5,151911399	913,2647103	3,072891147	5,929381509	0,518248175	0
																5	9098	0	278	0	3220	0	344	723,4114461	25,58363147	905,8458583	5,512205719	627,4859854	2,875972705	5,710264647	0,503649635	0
																5	9048	0	261	0	3484	0	441	653,0182956	17,75029762	358,3242091	5,168458962	518,1154066	2,871272867	4,856350405	0,591240876	0
																5	9019	0	266	0	3417	0	352	669,8851004	21,7904113	827,8953856	5,094436494	466,2344083	2,71548787	5,552564748	0,489051095	0
																5	9046	1	331	1	3432	0	351	686,8066994	17,36997061	849,1281711	5,051829455	466,4290309	2,939912285	6,011462433	0,489051095	0
																5	8770	0	272	0	3345	0	313	719,1280354	30,16893308	277,3432419	5,870159606	212,8061857	4,157523974	7,697037628	0,540145985	0
																5	9036	0	284	0	3508	0	415	690,1485784	23,71971431	513,7252076	5,372122824	629,1911947	2,077296187	5,472876492	0,379562044	0
																5	8975	0	282	0	3209	0	378	708,9614403	26,45515837	781,4564708	5,589816919	189,9392848	4,935735965	7,955245026	0,620437956	0
																5	8901	0	290	0	3458	0	381	684,8742683	22,33211865	561,8773379	5,257496592	569,4767106	1,766368372	4,399863036	0,401459854	0
																5	8783	0	266	0	3356	0	379	714,3544108	21,52761188	852,3968648	5,479451123	615,8044619	2,730585178	5,668032869	0,481751825	0
																5	9072	0	263	0	3243	0	377	687,1965392	21,36044102	787,9302827	5,450140991	263,3444838	3,884744059	6,570493038	0,591240876	0
																5	8942	0	324	0	3140	0	424	660,9731536	25,30582563	764,5437291	6,152831261	518,3338203	4,96453993	8,396814449	0,591240876	0
																5	8880	0	292	0	3428	0	616	666,8595574	20,94822247	666,8595574	5,720364539	613,1211493	3,552444944	6,16056908	0,576642336	0
																5	8907	0	270	0	3448	0	361	668,8775359	30,10067988	280,5044519	5,942159854	215,5065952	6,333354771	9,534830809	0,664233577	0
																5	8940	0	320	0	3147	0	399	689,8403944	24,3298838	856,1929441	5,740611803	627,299236	3,383243836	6,263573047	0,540145985	0
																5	8901	0	316	0	3116	0	388	688,4364947	32,76422717	303,9234421	5,97502406	304,8246482	4,687125934	7,297002874	0,642335766	0
																5	8999	0	273	0	3337	0	414	689,7699637	28,68460093	280,455139	5,792250534	227,1478629	5,020567272	8,597721454	0,583941606	0
																5	8889	0	369	0	3405	0	339	653,3741371	37,81066002	221,0517052	6,148249952	221,0517052	4,437107092	7,998469363	0,554744526	0
																5	9005	0	350	0	3665	0	373	689,3719102	18,77265884	458,8639623	5,386279363	915,4016492	3,266254333	6,302490756	0,518248175	0
																5	8902	0	313	0	3147	0	324	651,0215236	18,95213437	250,4481327	4,999515335	465,6871131	2,234582612	4,93770674	0,452554745	0
																5	8878	0	300	0	2996	0	633	657,4074854	22,42662103	657,4074854	6,563597954	779,978457	4,488035909	6,987055904	0,642335766	0
																5	8854	1	293	0	3110	1	495	683,3692346	19,40335946	458,5829961	5,661327305	909,6872041	4,213306396	6,634746854	0,635036496	0
																5	8876	0	291	0	3166	0	501	640,1544117	22,58466601	285,1245081	6,183596154	642,9318634	5,225599773	7,535864935	0,693430657	0
																5	8833	0	386	0	3380	0	324	627,192202	20,54534981	51,60907742	5,388902817	627,192202	3,17266824	7,125500801	0,445255474	0
																5	8949	0	282	0	3241	0	484	660,2861805	25,09701555	182,8663159	5,639982676	197,4066125	3,160289391	6,872375343	0,459854015	0
																5	9047	0	367	0	3184	0	391	677,8515985	27,71757799	201,6157903	5,447315102	215,0114639	4,099826399	7,590219143	0,540145985	0
																5	8953	0	302	0	3452	0	569	664,2399536	26,41952742	788,6493819	6,13343802	237,359343	6,01504733	9,928451616	0,605839416	0
																5	8947	0	283	0	3425	0	324	686,600488	27,46716506	766,2518052	5,415779389	766,2518052	3,403278586	7,064381307	0,481751825	0
																5	8790	0	338	0	3142	0	452	635,0938969	24,9068411	216,008754	5,648069573	418,7432482	3,243494876	6,004848621	0,540145985	0
																5	8787	1	308	1	3359	0	333	673,8907971	22,55800691	854,8770133	5,450222788	521,7580945	3,580127881	7,212904701	0,496350365	0
																5	8830	0	327	0	3397	0	563	692,7943645	20,06602565	692,7943645	5,802415142	698,4611385	5,598316777	9,353285347	0,598540146	0
																5	9071	0	303	0	3443	0	568	672,9085706	20,26741317	241,3179441	5,441925233	188,3193028	4,02198407	6,638696598	0,605839416	0
																5	9051	0	313	0	3392	0	425	699,2503679	23,93129114	413,7477244	5,890033869	417,4174528	3,540905996	6,832452416	0,518248175	0
																5	8823	0	240	0	3267	0	404	674,8965824	19,0406311	307,9075022	5,589280957	627,3469632	3,760531811	7,359897972	0,510948905	0
																5	8751	0	270	0	3393	0	509	673,5824512	25,89778679	783,1161865	5,690353509	520,9770998	4,350642876	7,740754208	0,562043796	0
																5	9041	0	390	0	3418	0	405	680,0015672	25,51504129	514,5689544	5,700067104	266,2947811	5,66854182	9,245121777	0,613138686	0
																5	9051	0	306	0	3447	0	396	668,533683	19,7660072	793,8009298	5,615446274	794,4658267	3,588229252	6,827602883	0,525547445	0
																5	9087	0	300	0	3589	0	355	704,2593047	22,5732773	69,93301441	5,392410146	569,426076	5,0037029	8,160801158	0,613138686	0
																5	8920	0	337	0	3409	0	406	685,0995741	23,97167563	363,6734948	5,335620564	363,9393367	2,670312703	5,628197544	0,474452555	0
																5	9009	0	365	0	3421	0	549	674,2919787	21,15089001	279,4752768	5,706759401	575,3069782	5,314306253	8,565411255	0,620437956	0
																5	9182	0	327	0	3542	0	616	712,6353141	25,09845726	855,2532247	6,136680528	284,3935993	3,951259408	6,368500458	0,620437956	0
																5	8934	0	312	0	3498	0	703	702,6113752	23,4710333	236,7583002	6,399243631	751,0617867	3,071153634	5,926028842	0,518248175	0
																5	8898	0	273	0	3339	0	599	695,5520788	26,07925445	848,0533312	5,699965582	848,0533312	3,730633533	6,309836964	0,591240876	0
																5	8994	0	296	0	3214	0	539	679,3647996	25,59429128	143,2368674	5,703338431	184,6009408	7,11989086	10,959832	0,649635036	0
																5	9132	0	273	0	3411	0	500	615,4308852	23,71237802	412,1531769	6,025986468	634,0918091	5,459137259	7,554563681	0,722627737	0
																5	8903	0	272	0	3399	0	306	660,3233351	21,71314759	562,2168893	5,405728649	193,2079273	2,528906821	5,4993688	0,459854015	0
																5	8894	1	306	0	3541	0	373	687,6379267	24,69618439	415,3104631	5,403442871	618,5082751	3,598134613	6,752663589	0,532846715	0
																5	8869	0	289	0	3458	0	373	689,5037858	21,04006157	536,5508019	5,537521382	568,1445007	2,969615096	6,259034894	0,474452555	0
																5	8931	0	283	0	3329	0	368	682,8367095	24,49158926	762,8058444	5,396713718	762,8058444	2,814600265	5,932311328	0,474452555	0
																5	8965	0	316	0	3498	0	354	657,6186581	24,55568935	780,2749133	5,673842021	526,2612743	3,768857203	6,884445824	0,547445255	0
																5	9075	0	301	0	3626	0	425	621,8642917	26,09006366	764,8599263	6,041529542	764,8599263	4,783290882	8,737478011	0,547445255	0
																5	8823	0	298	0	3300	0	321	734,3464072	25,42296886	774,6194848	5,706840409	774,6194848	3,790390246	7,017344105	0,540145985	0
																5	9077	0	305	0	3281	0	338	656,0954927	18,17695304	390,3740764	5,038149558	557,4726384	2,662874118	4,737840963	0,562043796	0
																5	8784	0	306	0	3105	0	514	631,9420134	31,61027397	783,7269959	6,228625429	783,7269959	6,321637963	10,18899295	0,620437956	0
																5	9112	0	280	0	3585	0	275	719,4732674	23,75272737	412,6408801	5,168894657	203,3451309	5,899306661	10,36160272	0,569343066	0
																5	8819	0	270	0	3183	0	347	622,9683246	28,9376941	185,2897623	5,298754881	907,2239582	2,459649574	5,911789328	0,416058394	0
																5	8825	0	281	0	3357	0	276	686,2178037	31,23911264	278,0642775	5,76629599	218,743111	4,01170175	8,45543292	0,474452555	0
																5	9012	0	260	0	3476	0	284	714,6860433	22,64065853	777,7978059	5,379835669	467,2224005	2,215894756	5,325922483	0,416058394	0
																5	8928	0	290	0	3554	0	396	718,1848215	19,55321383	409,703227	5,569978343	776,9764152	2,948903548	5,855069363	0,503649635	0
																5	9032	0	354	0	3516	0	523	631,0203411	33,503634	301,7917089	6,554551363	301,7917089	5,362497353	8,162912637	0,656934307	0
																5	9235	1	322	0	3635	0	420	692,8348116	24,00746832	269,1653287	5,647669244	177,1348244	4,591068331	8,276004755	0,554744526	0
