tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve	maxQueueLength	time	maxWaitingTime	time	averageWaitTime	maxTramDelay	averageTramDelay/total	averageTramDelay/delayed	fractionOfRunsDelayed	passengersNotArrived
																0	14	176	0	110	7	17	1	196,2542731	5,864901553	729,6951554	6,564938404	748,7565737	3,335312108	10,38494906	0,321167883	0
																0	14	176	0	110	7	17	1	196,2542731	5,864901553	729,6951554	6,564938404	748,7565737	3,335312108	10,38494906	0,321167883	0
0	3,7	16,2	0,9	15,3	2,5	4,4										0	11	177	1	114	5	7	1	118,5067421	8,08948589	307,0666667	5,111057531	178,4948362	2,633034686	8,798189073	0,299270073	0
3	33,3	0,0	23,1	0,0	17,8	0,0										0	11	177	1	114	5	7	1	118,5067421	8,08948589	307,0666667	5,111057531	178,4948362	2,633034686	8,798189073	0,299270073	0
4	49,0	0,0	11,2	0,0	50,5	0,0										0	11	177	1	114	5	7	1	118,5067421	8,08948589	307,0666667	5,111057531	178,4948362	2,633034686	8,798189073	0,299270073	0
5	112,1	0,3	32,0	0,2	138,2	0,2										0	22	148	1	96	9	12	2	554,6666667	12,68818493	732,6666667	6,495276706	206,8099258	2,036187943	7,748826338	0,262773723	0
6	90,7	18,2	26,6	14,4	124,7	1,9										0	22	148	1	96	9	12	2	554,6666667	12,68818493	732,6666667	6,495276706	206,8099258	2,036187943	7,748826338	0,262773723	0
7	26,1	6,4	14,5	0,8	22,7	2,2										0	22	148	1	96	9	12	2	554,6666667	12,68818493	732,6666667	6,495276706	206,8099258	2,036187943	7,748826338	0,262773723	0
8	25,3	16,1	7,6	4,9	25,6	7,6										0	14	148	0	96	11	12	2	268,3818124	9,75021953	268,3818124	2,216654166	181,7693512	1,571136476	7,422265422	0,211678832	0
9	36,7	22,0	16,4	7,0	20,3	16,1										0	14	148	0	96	11	12	2	268,3818124	9,75021953	268,3818124	2,216654166	181,7693512	1,571136476	7,422265422	0,211678832	0
10	263,4	160,3	568,3	67,6	133,2	376,3										0	14	148	0	96	11	12	2	268,3818124	9,75021953	268,3818124	2,216654166	181,7693512	1,571136476	7,422265422	0,211678832	0
13	52,4	76,3	132,9	33,8	25,9	25,7										0	17	167	2	119	7	7	2	616,372563	6,493893448	298,6666667	7,517364801	807,1162099	1,525337949	9,951014242	0,153284672	0
14	20,6	57,6	19,7	36,9	6,0	18,8										0	17	167	2	119	7	7	2	616,372563	6,493893448	298,6666667	7,517364801	807,1162099	1,525337949	9,951014242	0,153284672	0
15	6,8	42,0	4,9	26,3	2,2	31,9										0	17	167	2	119	7	7	2	616,372563	6,493893448	298,6666667	7,517364801	807,1162099	1,525337949	9,951014242	0,153284672	0
16	3,5	274,5	0,6	448,3	3,0	59,6										0	10	159	0	101	4	16	1	8,4	5,823206831	900,6666667	4,291161165	412,8666667	1,40851494	6,654018855	0,211678832	0
17	3,0	207,8	0,6	231,1	2,7	46,7										0	10	159	0	101	4	16	1	8,4	5,823206831	900,6666667	4,291161165	412,8666667	1,40851494	6,654018855	0,211678832	0
18	2,2	98,4	0,2	102,6	2,0	32,3										0	10	159	0	101	4	16	1	8,4	5,823206831	900,6666667	4,291161165	412,8666667	1,40851494	6,654018855	0,211678832	0
19	0,0	34,4	0,0	33,1	0,0	13,5										0	16	147	1	104	9	7	2	704,6	5,270226911	353,0666667	6,969192946	564,0666667	1,78775598	6,803404702	0,262773723	0
																0	16	147	1	104	9	7	2	704,6	5,270226911	353,0666667	6,969192946	564,0666667	1,78775598	6,803404702	0,262773723	0
0	2,25715E-05	0	2,43844E-07	0	4,71158E-15	0										0	16	147	1	104	9	7	2	704,6	5,270226911	353,0666667	6,969192946	564,0666667	1,78775598	6,803404702	0,262773723	0
3	0,999976808	1	0,024065179	1	4,04636E-06	1										0	11	182	0	111	7	13	2	657,9333333	6,483140673	354,0666667	5,578272787	766,5413027	1,441346523	6,369821729	0,226277372	0
4	1	1	4,1312E-174	1	0,000643161	1										0	11	182	0	111	7	13	2	657,9333333	6,483140673	354,0666667	5,578272787	766,5413027	1,441346523	6,369821729	0,226277372	0
5	1	0,996312598	0	0,297449664	1,36994E-06	0,174180848										0	11	182	0	111	7	13	2	657,9333333	6,483140673	354,0666667	5,578272787	766,5413027	1,441346523	6,369821729	0,226277372	0
6	1	1	0	1	0,721380673	0,049948505										0	11	169	2	123	3	12	1	104,1723724	15,72498986	439,7297012	10,07596588	412,8666667	1,824819053	8,620696907	0,211678832	0
7	0,552451149	3,26008E-18	0,288131319	0,992498563	0,959123969	0,984275374										0	11	169	2	123	3	12	1	104,1723724	15,72498986	439,7297012	10,07596588	412,8666667	1,824819053	8,620696907	0,211678832	0
8	0,959838372	1	4,56635E-09	0,99999968	0,980837261	0,993611468										0	11	169	2	123	3	12	1	104,1723724	15,72498986	439,7297012	10,07596588	412,8666667	1,824819053	8,620696907	0,211678832	0
9	0,995267755	1	1,3283E-25	1	6,78318E-26	1										0	13	153	1	109	8	14	2	681,2666667	3,895907933	667,1127393	5,617979869	513,6666667	1,686390066	7,219857472	0,233576642	0
10	0	1	1,9838E-196	0	0	1										0	13	153	1	109	8	14	2	681,2666667	3,895907933	667,1127393	5,617979869	513,6666667	1,686390066	7,219857472	0,233576642	0
13	0,999991255	6,3372E-102	1	0,7709532	1,02102E-14	1,0353E-105										0	13	153	1	109	8	14	2	681,2666667	3,895907933	667,1127393	5,617979869	513,6666667	1,686390066	7,219857472	0,233576642	0
14	0,815085197	1,93598E-28	1	1,09341E-35	9,26756E-12	0,496861703										0	18	143	2	65	6	20	2	196,1029732	7,299138163	196,1029732	6,796032417	251,9192443	6,037863719	14,77120231	0,408759124	0
15	0,262816511	1,891E-192	0,431759383	6,07802E-38	1,37738E-05	1,52986E-28										0	18	143	2	65	6	20	2	196,1029732	7,299138163	196,1029732	6,796032417	251,9192443	6,037863719	14,77120231	0,408759124	0
16	2,55703E-11	0	0,776427829	0,000710551	0,552216209	6,5781E-236										0	18	143	2	65	6	20	2	196,1029732	7,299138163	196,1029732	6,796032417	251,9192443	6,037863719	14,77120231	0,408759124	0
