tramstop; avgRuntime
0; NaN
0; NaN
0; NaN
3; 1,4371912032849237
4; 1,2844217515562577
5; 1,4388171764589588
6; 0,8327471680831282
7; 1,561929741986778
8; 1,0670206747005595
9; 4,378773898127751
10; 2,412702657302598
10; 2,412702657302598
10; 2,412702657302598
13; 2,190795074536111
14; 4,575937174081619
15; 1,0147986359270473
16; 1,7421893267019686
17; 0,8588606184345605
18; 1,0844547696958602
19; 1,299459961635239
0; NaN
0; NaN
0; NaN
3; 1,9065354499054719
4; 1,2580561955757001
5; 1,2772521436941238
6; 0,8345794372888826
7; 1,5706792596978392
8; 0,9656068378841213
9; 4,63017123180784
10; 2,4322291323646694
10; 2,4322291323646694
10; 2,4322291323646694
13; 2,3056769061153393
14; 4,451419153607478
15; 1,1472096161927008
16; 1,7424236423197532
17; 0,9042365228390542
18; 1,629436208099441
19; 1,3685320366394331
0; NaN
0; NaN
0; NaN
3; 1,8934994202643405
4; 1,2155790231356043
5; 1,2161293076315518
6; 0,9872110303395454
7; 1,5742170044064474
8; 1,0251576366957464
9; 4,362062828340403
10; 2,6948169964995734
10; 2,6948169964995734
10; 2,6948169964995734
13; 2,1445023600794535
14; 4,355635119054151
15; 1,1079304286910476
16; 1,717595889737059
17; 0,9359397028896561
18; 1,4740940141399963
19; 1,2610954454785002
0; NaN
0; NaN
0; NaN
3; 1,53183757160559
4; 1,2500082888583264
5; 1,434989651575973
6; 0,9099429277091178
7; 1,6073394597782733
8; 0,9918348810679308
9; 4,422754422652816
10; 2,425235325486255
10; 2,425235325486255
10; 2,425235325486255
13; 2,3408022180860044
14; 4,144587129741687
15; 0,9315017891963138
16; 1,6557590422694022
17; 0,7696781627855892
18; 1,261406722794031
19; 1,1154075771797018
0; NaN
0; NaN
0; NaN
3; 1,836494204085727
4; 1,3740279845170702
5; 1,2411783938469247
6; 0,9308065970765329
7; 1,7929330195226363
8; 0,9491158406360597
9; 4,125088208996666
10; 2,351319272406201
10; 2,351319272406201
10; 2,351319272406201
13; 2,59514076813224
14; 4,33161747013419
15; 0,9034941941852097
16; 1,6801039220806426
17; 0,8791106390069866
18; 1,2486322011508528
19; 1,439893757765452
0; NaN
0; NaN
0; NaN
3; 1,9498402676242028
4; 1,2931986619649873
5; 1,217410110487199
6; 1,0657104604177154
7; 1,7367099547944516
8; 0,9579989003594677
9; 4,631385395216085
10; 2,362344313385636
10; 2,362344313385636
10; 2,362344313385636
13; 2,3669253668851145
14; 4,277295822427633
15; 0,9334680793066995
16; 1,946532911153209
17; 0,9049176436468033
18; 1,3466771124940238
19; 1,2142061141411469
0; NaN
0; NaN
0; NaN
3; 1,4848021158387756
4; 1,3106992764486354
5; 1,132723207720518
6; 0,8794062226733842
7; 1,6796508910657442
8; 0,9816598048732929
9; 4,457119285041066
10; 2,22815889696483
10; 2,22815889696483
10; 2,22815889696483
13; 2,6494658934105395
14; 4,33000010393723
15; 0,9896720087917438
16; 1,5618736318237276
17; 0,8950642095914371
18; 1,5243235721293436
19; 1,308975569510521
0; NaN
0; NaN
0; NaN
3; 1,5523111401066376
4; 1,2984124432049622
5; 1,0938530762343661
6; 0,9728691735996782
7; 1,5235022924694321
8; 0,9738627720719439
9; 4,472314919418916
10; 2,2435607102286346
10; 2,2435607102286346
10; 2,2435607102286346
13; 1,8969997500996632
14; 4,668285531802043
15; 0,8876796063343997
16; 1,5193602635477768
17; 1,1179853250976322
18; 1,0419615981356731
19; 1,2476605697571903
0; NaN
0; NaN
0; NaN
3; 1,928025872331729
4; 1,1505504678569243
5; 1,5404572922786275
6; 0,9290963452909219
7; 1,6949480263656702
8; 0,9022027492827397
9; 4,016140565395081
10; 2,4324667198697623
10; 2,4324667198697623
10; 2,4324667198697623
13; 2,0252059323949836
14; 4,371499142074097
15; 0,9006491881355829
16; 1,5301962356628565
17; 1,0097590066173237
18; 1,0979333181016515
19; 1,0970999491987155
0; NaN
0; NaN
0; NaN
3; 1,5705270601145593
4; 1,1000176758559101
5; 1,2800919116502218
6; 0,9613449758739445
7; 1,8765527027798234
8; 0,9374562515053831
9; 4,587609648531098
10; 2,3523128539621156
10; 2,3523128539621156
10; 2,3523128539621156
13; 1,9126723905036376
14; 4,577770340061636
15; 0,8895634408376379
16; 1,5857699453713638
17; 0,7994556799765572
18; 1,3276400178019132
19; 1,2175897500009834
0; NaN
0; NaN
0; NaN
3; 1,834102445751614
4; 1,4527770806916065
5; 1,2056185060869542
6; 0,9637968795369405
7; 1,5648493282456064
8; 0,9564386072094573
9; 4,6871419361604945
10; 2,2609765732738647
10; 2,2609765732738647
10; 2,2609765732738647
13; 2,4553229000722103
14; 4,3225731704906325
15; 0,9506756265402261
16; 1,8756262843894684
17; 0,8863149237812464
18; 1,2663481126392155
19; 1,2201296640708557
0; NaN
0; NaN
0; NaN
3; 1,654181455214997
4; 1,2067273033633388
5; 1,2857725541410123
6; 0,8866441048053589
7; 1,7515160299061066
8; 0,8724836378647239
9; 4,330954867158883
10; 2,251721774776053
10; 2,251721774776053
10; 2,251721774776053
13; 2,2851342886671686
14; 4,2059346556729444
15; 0,9133528040036788
16; 1,6958154792325044
17; 1,0500324978491768
18; 1,2788476384942193
19; 1,1141473503260073
0; NaN
0; NaN
0; NaN
3; 1,7180802970255789
4; 1,2310596089850327
5; 1,2921601642440135
6; 0,9007160914316032
7; 1,9512958188755647
8; 0,9855143584985657
9; 4,635565721993751
10; 2,3471800301955676
10; 2,3471800301955676
10; 2,3471800301955676
13; 2,566381022205896
14; 4,330012838303648
15; 0,9798836750971569
16; 1,5586867562894142
17; 1,0279932867480808
18; 1,3656230430510652
19; 1,1577413820581346
0; NaN
0; NaN
0; NaN
3; 1,4918103639854376
