;Arriving;;;;;;;P;;;;;;
Timeslot;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde
37;41.8193914;73.96692874;84.01355069;9.015282747;4.162538848;7.037797594;0;0;5.99435E-05;0.006531034;0.000553135;0.016490249;0.022026648;1
38;32.37589288;69.19302191;75.40491143;3.480578278;6.061533051;11.9038442;0;0;0.000103034;0.004829272;0.000304521;0.012871117;0.030845122;1
39;34.57966891;87.05359508;64.58057133;3.148976552;6.470417529;11.7094391;0;0;0.00016906;0.009804764;0.0005221;0.008966595;0.018928495;1
40;45.34159859;111.5604078;88.15765394;10.60847168;9.552027877;8.827582328;0;0;7.91543E-05;0.000876646;0.000523988;0.007618403;0.027604357;1
41;59.98259885;95.0073465;92.02223732;9.217390688;11.75038954;12.41202028;0;0;7.99395E-06;0.001322431;0.000690765;0.012525216;0.034808879;1
42;66.94354242;124.4438116;114.8575988;10.08639344;12.27105471;14.24298854;0;0;2.01505E-05;0.000823183;0.00046503;0.008183074;0.036030574;1
43;74.35428691;167.3677678;96.20827152;7.20679519;11.7887163;13.39580595;0;0;4.95007E-05;0.00059931;0.001772477;0.011082051;0.04095956;1
44;79.33001001;222.4608207;125.9048071;13.88553115;11.38907265;10.22069891;0;0;5.95535E-06;0.000969321;0.000662954;0.009395552;0.0376165;1
45;56.72683837;110.2806794;107.6906486;17.77889609;12.30859727;9.274942814;0;0;7.48226E-06;0.000851854;0.001010396;0.006928134;0.029068564;1
46;34.03908937;101.3415093;86.06311172;6.244524242;12.44358687;7.441134051;0;0;1.28681E-05;0.002076072;0.001954922;0.007715003;0.032822888;1
47;30.65777274;82.46307767;59.30001437;3.753322507;8.049273345;7.645635197;0;0;6.56936E-06;0.000899823;0.000683984;0.010916734;0.030228833;1
48;19.05477569;43.99282519;36.84053083;2.211969624;5.999723214;5.510297064;0;0;9.20625E-05;0.007290606;0.000800224;0.006350718;0.035019392;1
49;22.91247972;76.11817934;54.32900451;2.462081895;4.387139158;6.013980057;0;0;0.00011625;0.00322406;0.00111987;0.014000586;0.032149709;1
50;15.39262559;62.26254153;49.70487057;1.878183906;5.602093099;8.018640075;0;0;4.14281E-05;0.009395002;0.001247451;0.014702429;0.027900828;1
51;14.87682333;64.78029669;44.96193477;2.357312453;3.61061732;5.967718671;0;0;6.1375E-05;0.008833167;0.001426289;0.012821251;0.024226854;1
52;11.07617503;115.9338424;46.71045445;2.907352025;2.520941894;6.036009287;0;0;0.000207141;0.003760856;0.002103585;0.013194357;0.030425212;1
53;7.058346833;57.59431473;37.09359618;3.509776319;3.174519423;5.551366206;0;0;0;0;0.000709217;0.011759906;0.029802773;1
54;10.0337115;38.45298794;49.57053308;1.430102888;2.107787528;4.846430815;0;0;0;0.005127417;0.000467505;0.006298839;0.036750707;1
55;9.230145859;37.36710622;34.22102813;1.309618029;4.94851557;4.903706815;0;0;0;0.012864132;0.000576086;0.023860838;0.027179873;1
56;9.447325761;30.76664872;49.08344546;1.78108052;2.100784912;9.164160086;0;0;0;0.004295173;0.000705571;0.0102941;0.030059479;1
57;10.31604537;27.99871492;33.59655681;1.571541635;3.221203532;4.317729272;0;0;7.89107E-05;0;0.000410805;0.010283908;0.027602679;1
58;6.081037272;21.07888044;28.35099776;0.89054026;1.63394382;7.798347765;0;0;0;0;0.00015559;0.005301296;0.028061022;1
59;7.818476492;21.07888043;11.98984927;0.89054026;1.914048475;2.951916951;0;0;0;0.006062588;0.000600886;0.015256671;0.030012748;1
60;6.623987028;21.29179842;27.97631497;0.471462491;1.493891493;7.66617238;0;0;0.000131518;0.005714231;0.000345988;0.02434105;0.034422703;1
61;4.560777953;13.09445603;22.73075591;1.362002751;2.474257785;3.744969266;0;0;0;0;0.000480767;0.030044718;0.033987008;1
62;1.085899513;9.049014328;13.61347469;0.209538885;0.840313965;7.313704684;0;0;0;0;0.000603471;0.006675035;0.035054495;1
63;0;0;0;0;0;1.982630788;0;0;0;0;0;0;0.043553835;1
