;Arriving;;;;;;;Leaving;;;;;;;P;;;;;;
Timeslot;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
27;139,9499474;14,256626;2,866361366;0,50625;0,01197406;0,006502136;0;0;14,64317516;3,49103149;13,57465414;59,36669503;78,28716823;16,99018497;0;0,095371074;0,02715414;0,076955277;0,373692736;0,74902109;1
28;93,60511264;11,9212412;3,797158282;0,711290323;0,009479464;0,004334757;0;0;15,15224734;5,516560424;6,564565153;53,73153628;61,79872377;12,44178736;0;0,224551302;0,032363198;0,075839967;0,399984637;0,827934927;1
29;70,37812168;7,524330389;1,910907577;0,13125;0,00405573;0,002202336;0;0;13,04971356;7,63156914;3,151017898;41,43189934;30,34388535;10,98044018;0;0,15925978;0,076136841;0,046140116;0,470392567;0,745127318;1
30;57,70775607;5,989763007;0,934221482;0,0625;0,005238651;0,015171651;0;0;11,03510654;3,367649364;2,028378615;21,89065897;29,20906346;8,969499129;0;0,269037663;0,050869908;0,036101016;0,367582127;0,743434842;1
31;45,38389003;4,449762459;1,512801832;0,08125;0,00598703;0,004334757;0;0;11,25017584;3,044176123;1,873889128;19,0666109;18,76343712;7,68237095;0;0,210614505;0,089708607;0,036943333;0,440112456;0,677125028;1
32;46,34901483;7,444488173;1,15928393;0,058094262;0,005668049;0,004476881;0;0;9,500031058;4,693133549;2,026371487;14,95716237;15,01588526;6,624699236;0;0,233864101;0,060685681;0,038059778;0,352912107;0,628753441;1
33;62,91348456;5,197728229;0,997918401;0,076209677;0,003041798;0,004935356;0;0;8,433321956;2,028193085;3,102951127;14,71298646;19,22820641;7,233654876;0;0,172987978;0,04533436;0,059791363;0,339603908;0,665801722;1
34;86,12968982;9,207404291;1,828101582;0,126388889;0,002619326;0,004551495;0;0;10,67616656;2,160339709;6,498917828;15,88923863;30,8852993;6,443394168;0;0,134899069;0,036698613;0,100224068;0,24563318;0,731790525;1
35;58,14555723;14,11055401;1,486261449;0,20625;0,006485949;0,002167379;0;0;10,31653009;6,268576732;8,795647308;19,09948972;41,95493234;13,72799979;0;0,136099844;0,039764639;0,110391281;0,264451174;0,745042698;1
36;31,73697601;7,084311067;0,936344713;0,293644068;0,009429572;0,009257278;0;0;9,129777263;2,389439728;3,323033376;15,15295181;25,40836867;10,01585447;0;0,252699665;0,072797812;0,075165483;0,282104668;0,665564416;1
37;33,70837442;6,138269527;0,79826623;0,379518072;0,005576629;0,006580475;0;0;8,741613108;2,663685076;1,239257031;9,22467044;11,97977013;6,415243755;0;0,245133195;0,080612674;0,039418796;0,343688555;0,635130414;1
38;26,80934177;5,485795095;0,531830904;0,165120968;0,003408279;0,004404673;0;0;8,800317447;2,142973587;0,688822856;11,53394226;11,65487742;4,469924471;0;0,298679326;0,079076164;0,021083091;0,370986332;0,671282599;1
39;32,23969671;4,828857193;0,934221482;0,103125;0,002993515;0;0;0;8,909975291;1,988370301;0,890987019;7,37037578;8,10830596;4,568891804;0;0,31392904;0,08149472;0,031078369;0,337728227;0,598395657;1
40;58,86374886;10,35730744;0,787428567;0,201352781;0,068938105;0,004404673;0;0;17,17049665;7,330030331;1,01714074;7,913828415;9,368453674;6,981485564;0;0,298485254;0,125588063;0,026646206;0,2502398;0,589297331;1
41;102,5342668;9,3541;0,758954474;0,065289381;0,281625564;0,124655438;0;0;24,56213909;4,549897187;2,005827805;13,30726162;15,71567575;18,2948482;0;0,314161468;0,080533132;0,027986335;0,257891114;0,459786551;1
42;109,477809;20,20453012;1,210886388;0,111542776;0,172452197;0,331052147;0;0;26,04631436;15,03042756;5,84584843;23,55409844;24,69055907;18,67993846;0;0,274308519;0,115569566;0,072597028;0,32186515;0,55815551;1
43;80,18781017;12,10616129;1,362601661;0,177572767;0,554310634;0,48660677;0;0;19,0754905;22,72120602;5,120471362;28,31493138;33,31615507;15,64681592;0;0,235574817;0,098919743;0,046252508;0,337865853;0,725111256;1
44;62,89833578;12,49686076;0,948272758;0,372075975;0,957526918;0,651425192;0;0;17,77025737;8,341793216;3,53653712;21,68389344;30,49395631;11,78863209;0;0,259362624;0,086453877;0,039094981;0,33285313;0,57015261;1
45;106,2848893;11,65862069;1,102868207;0,31236664;0,436519624;0;0;0;27,93517502;7,481049445;3,618414025;13,66766089;23,05177111;10,57383779;0;0,31604061;0,107162153;0,064397905;0,231015729;0,660347987;1
