;;;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;;;;
R1005;4-9-2015;06:42;54,42497953;9,355910812;1,337635304;0;0;0;0;0;11,49150453;19,15250754;0;5,745752263;9,576253771;19,15250754;;;;
R1005;7-9-2015;06:42;67,12414142;6,237273875;0;0;0;0;0;0;11,28637158;15,04849544;9,405309653;9,405309653;11,28637158;16,92955738;;;;
R1005;8-9-2015;06:42;94,33663118;6,237273875;0;0;0;0;0;0;11,17487834;42,83703364;3,724959447;11,17487834;7,449918893;24,2122364;;;;
R1005;9-9-2015;06:42;74,38080536;3,118636937;0;0;0;0;0;0;18,45224817;23,98792261;9,226124083;3,690449633;12,91657372;9,226124083;;;;
R1005;10-9-2015;06:42;68,9383074;6,237273875;0;0;0;0;0;0;22,55267438;18,79389532;7,517558128;7,517558128;9,39694766;9,39694766;;;;
R1005;14-9-2015;06:42;88,89413323;6,237273875;1,337635304;0;0;0;0;0;16,69656503;20,40691282;9,275869462;9,275869462;16,69656503;24,1172606;;;;
R1005;15-9-2015;06:42;101,5932951;0;0;0;0;0;0;0;21,76999181;25,39832378;5,442497953;3,628331969;27,21248976;18,14165984;;;;
R1005;16-9-2015;06:42;65,30997543;6,237273875;2,675270608;0;0;0;0;0;14,84450398;14,84450398;3,711125996;5,566688994;12,98894099;22,26675598;;;;
R1005;17-9-2015;06:42;90,70829922;9,355910812;1,337635304;0;0;0;0;0;11,2668717;37,55623901;9,389059753;7,511247802;13,14468365;22,53374341;;;;
R1005;18-9-2015;06:42;61,68164347;3,118636937;1,337635304;0;0;0;0;0;12,86015028;18,37164325;1,837164325;5,511492976;11,02298595;16,53447893;;;;
R1005;21-9-2015;06:42;87,07996725;3,118636937;4,012905912;0;0;0;0;0;16,30583829;16,30583829;7,247039238;9,058799048;14,49407848;30,79991676;;;;
R1005;22-9-2015;06:42;0;146,5759361;4,012905912;0;0;0;0;0;18,07066104;48,18842943;9,035330518;9,035330518;27,10599155;39,15309891;;;;
R1005;23-9-2015;06:42;67,12414142;6,237273875;1,337635304;0;0;0;0;0;20,54223891;14,93981012;5,602428795;3,73495253;9,337381325;20,54223891;;;;
R1005;24-9-2015;06:42;0;152,8132099;1,337635304;0;0;0;0;0;33,91318595;61,66033809;15,41508452;12,33206762;12,33206762;18,49810143;;;;
R1005;25-9-2015;06:42;74,38080536;0;2,675270608;0,7875;0;0;0;0;10,37914346;25,94785865;5,189571731;6,919428975;12,10900071;17,29857244;;;;
R1005;28-9-2015;06:42;0;34,30500631;0;0;0;0;0;0;6,237273875;9,355910812;6,237273875;3,118636937;0;9,355910812;;;;
R1005;29-9-2015;06:42;32,65498772;71,72864956;0;0;0;0;0;0;22,91348135;43,28102033;10,18376949;0;12,72971186;15,27565424;;;;
R1005;30-9-2015;06:42;0;18,71182162;0;0;0;0;0;0;3,118636937;0;0;0;0;15,59318469;;;;
R1007;2-9-2015;06:55;78,00913733;6,237273875;2,675270608;0,39375;0;0;0;0;18,19071496;16,37164346;9,09535748;9,09535748;5,457214488;29,10514394;;;;
R1007;3-9-2015;06:55;68,9383074;12,47454775;1,337635304;0,39375;0;0;0;0;28,34462743;11,33785097;11,33785097;3,779283657;1,889641829;26,4549856;;;;
R1007;4-9-2015;06:55;45,35414961;18,71182162;1,337635304;0,39375;0;0;0;0;11,96315573;5,981577867;3,987718578;5,981577867;11,96315573;25,92017076;;;;
R1007;7-9-2015;06:55;107,0357931;6,237273875;0;0;0;0;0;0;33,42483943;27,85403286;18,56935524;5,570806571;5,570806571;22,28322628;;;;
R1007;8-9-2015;06:55;81,63746929;9,355910812;1,337635304;0,39375;0;0;0;0;16,69045777;25,96293431;14,83596247;3,708990616;0;31,52642024;;;;
R1007;9-9-2015;06:55;78,00913733;9,355910812;1,337635304;0,39375;0;0;0;0;24,13028406;20,41793266;16,70558127;3,712351393;5,56852709;18,56175697;;;;
R1007;10-9-2015;06:55;74,38080536;3,118636937;1,337635304;0;0;0;0;0;14,66736327;20,1676245;9,167102046;5,500261228;5,500261228;23,83446532;;;;
R1007;11-9-2015;06:55;94,33663118;21,83045856;1,337635304;0,39375;0;0;0;0;21,26038075;19,32761886;0;7,731047544;23,19314263;46,38628527;;;;
R1007;14-9-2015;06:55;87,07996725;0;0;0;0;0;0;0;27,21248976;30,84082173;9,070829922;7,256663937;3,628331969;9,070829922;;;;
R1007;15-9-2015;06:55;79,82330331;9,355910812;2,675270608;0,39375;0;0;0;0;14,75971756;23,98454103;9,224823473;3,689929389;9,224823473;31,36439981;;;;
R1007;16-9-2015;06:55;96,15079717;24,9490955;1,337635304;0;0;0;0;0;13,82359187;31,59678141;7,899195353;9,873994191;13,82359187;45,42037328;;;;
R1007;17-9-2015;06:55;76,19497134;6,237273875;2,675270608;0,39375;0;0;0;0;14,55340695;18,19175869;10,91505521;7,276703474;9,095879343;25,46846216;;;;
R1007;18-9-2015;06:55;56,23914551;6,237273875;1,337635304;0,39375;0;0;0;0;16,51057835;9,172543527;0;7,338034822;12,84156094;18,34508705;;;;
R1007;21-9-2015;06:55;234,027412;12,47454775;0;0;0;0;0;0;24,09417651;87,10971509;18,53398193;14,82718555;46,33495484;55,6019458;;;;
R1007;22-9-2015;06:55;94,33663118;21,83045856;1,337635304;0;0;0;0;0;21,54253293;27,41776918;11,7504725;5,875236252;9,792060421;41,12665377;;;;
R1007;23-9-2015;06:55;70,75247339;21,83045856;0;0,39375;0;0;0;0;21,76050003;21,76050003;1,978227276;7,912909102;5,934681827;33,62986368;;;;
R1007;24-9-2015;06:55;81,63746929;21,83045856;2,675270608;0;0;0;0;0;25,55299222;21,62176265;7,862459145;7,862459145;9,828073932;33,41545137;;;;
R1007;25-9-2015;06:55;68,9383074;21,83045856;1,337635304;0;0;0;0;0;18,02081764;22,02544378;6,006939213;8,009252284;8,009252284;30,03469607;;;;
R1007;28-9-2015;06:55;88,89413323;6,237273875;1,337635304;0;0;0;0;0;24,1172606;33,39313006;5,565521677;7,42069557;9,275869462;16,69656503;;;;
R1007;29-9-2015;06:55;97,96496315;6,237273875;2,675270608;0,39375;0;0;0;0;21,81788291;23,63603982;9,090784545;12,72709836;12,72709836;27,27235364;;;;
R1007;30-9-2015;06:55;56,23914551;9,355910812;0;0;0;0;0;0;13,50486454;17,36339726;5,787799088;9,646331813;1,929266363;17,36339726;;;;
R1059;2-9-2015;09:00;38,09748567;68,61001262;0;0;0;0,136544856;0;0;53,42202157;12,14136854;0;21,85446337;12,14136854;7,284821124;;;;
R1059;3-9-2015;09:00;148,7616107;9,355910812;4,012905912;0;0;0;0;0;62,64130151;7,369564883;0;22,10869465;53,42934541;16,58152099;;;;
R1059;4-9-2015;09:00;203,1865902;0;0;0;0;0;0;0;181,4165984;3,628331969;0;14,51332787;0;3,628331969;;;;
R1059;7-9-2015;09:00;248,5407398;12,47454775;5,350541216;0;0,031431908;0;0;0;54,73916316;9,12319386;14,59711018;87,58266106;87,58266106;12,7724714;;;;
R1059;8-9-2015;09:00;255,7974038;6,237273875;1,337635304;0;0,031431908;0;0;0;38,14812857;10,89946531;1,816577551;47,23101632;63,58021428;101,7283428;;;;
R1059;9-9-2015;09:00;190,4874284;24,9490955;0;0;0;0;0;0;34,31732238;13,34562537;1,90651791;104,8584851;57,19553731;3,81303582;;;;
R1059;10-9-2015;09:00;273,9390636;3,118636937;5,350541216;0;0;0;0;0;57,92989575;18,10309242;9,051546211;94,13608059;97,75669908;5,430927727;;;;
R1059;11-9-2015;09:00;5,442497953;0;0;0;0;0;0;0;3,628331969;0;0;0;1,814165984;0;;;;
R1059;14-9-2015;09:00;190,4874284;15,59318469;1,337635304;0;0;0;0;0;65,40215038;13,08043008;9,34316434;54,19035317;48,58445457;16,81769581;;;;
R1059;15-9-2015;09:00;143,3191128;3,118636937;1,337635304;0;0;0;0;0;47,4340742;14,59509975;0;27,36581204;41,96091179;16,41948722;;;;
R1059;16-9-2015;09:00;295,7090554;15,59318469;4,012905912;0;0;0;0;0;68,22608423;25,81527511;3,687896445;103,2611005;92,19741112;22,12737867;;;;
R1059;17-9-2015;09:00;308,4082173;9,355910812;4,012905912;0;0;0;0;0;106,040159;18,28278603;7,31311441;91,41393013;85,92909432;12,79795022;;;;
R1059;18-9-2015;09:00;234,027412;18,71182162;1,337635304;0;0;0,136544856;0;0;74,22289453;24,12244072;3,711144726;74,22289453;55,6671709;22,26686836;;;;
R1059;21-9-2015;09:00;208,6290882;15,59318469;4,012905912;0;0;0;0;0;74,22282237;16,70013503;16,70013503;72,36725181;38,96698175;9,277852796;;;;
R1059;22-9-2015;09:00;174,1599345;9,355910812;0;0;0;0;0;0;72,29412088;18,53695407;0;40,78129896;35,22021274;16,68325866;;;;
R1059;23-9-2015;09:00;199,5582583;15,59318469;0;0;0;0;0;0;54,25558127;16,83793901;1,870882113;78,57704873;54,25558127;9,354410563;;;;
R1059;24-9-2015;09:00;206,8149222;3,118636937;0;0;0;0;0;0;80,32240524;16,42958289;0;58,41629472;45,63773025;9,12754605;;;;
R1059;25-9-2015;09:00;145,1332787;9,355910812;5,350541216;0,39375;0;0;0;0;63,72922531;12,74584506;5,462505026;18,20835009;38,23753518;21,85002011;;;;
R1059;28-9-2015;09:00;439,0281682;3,118636937;2,675270608;0;0;0;0;0;139,8012238;19,9716034;19,9716034;39,9432068;43,57440742;181,5600309;;;;
R1059;29-9-2015;09:00;324,7357112;3,118636937;2,675270608;0;0;0;0;0;72,64387225;25,42535529;3,632193612;52,66680738;39,95412974;136,2072605;;;;
R1059;30-9-2015;09:00;136,0624488;0;0;0;0;0;0;0;16,32749386;1,814165984;0;0;0;117,920789;;;;
R1061;2-9-2015;09:05;212,2574202;24,9490955;1,337635304;0,39375;0;0;0;0;58,32342465;3,76280159;16,93260716;79,01883339;60,20482544;20,69540875;;;;
