Trip;Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde
R1006;15-9-2015;06:54;2,280388977;8,942555336;0;1,100079145;0;0;0;0;0;0;0;2,053837243;0;10,26918621
R1006;16-9-2015;06:54;0;13,413833;0;1,100079145;5,882197754;9,252277011;0;0;0;0;0;0;1,289060301;28,35932661
R1006;17-9-2015;06:54;0;8,942555336;0;1,100079145;0,980366292;3,700910804;0;0;0;0;0;0;0;14,72391158
R1006;18-9-2015;06:54;0;6,706916502;0;0;0;6,476593907;0;0;0;0;0;0;0;13,18351041
R1006;21-9-2015;06:54;2,280388977;6,706916502;0;0;0;7,401821609;0;0;0;0;0;1,365760591;0;15,0233665
R1006;22-9-2015;06:54;0;13,413833;0;1,100079145;3,921465169;6,476593907;0;0;0;0;0;0;1,383998401;23,52797282
R1006;23-9-2015;06:54;0;13,413833;0;3,300237434;1,960732585;6,476593907;0;0;0;0;0;0;1,397299829;23,7540971
R1006;24-9-2015;06:54;2,280388977;8,942555336;0;1,100079145;2,941098877;9,252277011;0;0;0;0;0;1,290336808;1,290336808;21,93572573
R1006;25-9-2015;06:54;0;4,471277668;0;0;0;0;0;0;0;0;0;0;0;4,471277668
R1006;29-9-2015;06:54;2,280388977;6,706916502;0;1,100079145;0;0;0;0;0;0;0;2,017476925;0;8,069907699
R1006;30-9-2015;06:54;0;4,471277668;0;2,200158289;4,901831461;7,401821609;0;0;0;0;0;0;0;18,97508903
R1008;2-9-2015;07:14;3,33375;7,975032594;0;11,46968002;0;4,273304244;0;0;0;0;0;0;3,005751874;24,04601499
R1008;3-9-2015;07:14;6,6675;3,987516297;0;11,46968002;0;5,697738992;0;0;0;0;3,091381701;0;0;24,73105361
R1008;4-9-2015;07:14;0;5,981274445;0;0;0;11,39547798;0;0;0;0;0;0;0;17,37675243
R1008;7-9-2015;07:14;3,33375;5,981274445;0;0;0;8,546608489;0;0;0;0;0;1,786163293;0;16,07546964
R1008;8-9-2015;07:14;6,6675;9,968790742;0;22,93936005;2,440668743;4,273304244;0;0;0;0;7,121480581;0;0;39,1681432
R1008;9-9-2015;07:14;3,33375;7,975032594;6,487056495;34,40904007;0;1,424434748;0;0;0;0;0;5,362931391;0;48,26638252
R1008;10-9-2015;07:14;3,33375;3,987516297;0;0;2,440668743;5,697738992;0;0;0;0;1,932459254;0;0;13,52721478
R1008;11-9-2015;07:14;3,33375;3,987516297;0;22,93936005;0;4,273304244;0;0;0;0;0;4,316741324;0;30,21718927
R1008;14-9-2015;07:14;3,33375;7,975032594;0;22,93936005;0;4,273304244;0;0;0;0;0;0;0;38,52144689
R1008;15-9-2015;07:14;3,33375;7,975032594;0;0;0;8,546608489;0;0;0;0;0;0;1,805035553;18,05035553
R1008;16-9-2015;07:14;3,33375;11,96254889;0;11,46968002;7,322006229;21,36652122;0;0;0;0;0;0;0;55,45450636
R1008;17-9-2015;07:14;23,33625;0;0;34,40904007;0;4,273304244;0;0;0;0;0;4,770661101;4,770661101;52,47727211
R1008;18-9-2015;07:14;3,33375;11,96254889;0;34,40904007;2,440668743;11,39547798;0;0;0;0;0;0;3,344288721;60,19719697
R1008;21-9-2015;07:14;0;7,975032594;0;11,46968002;0;15,66878223;0;0;0;0;0;0;0;35,11349485
R1008;22-9-2015;07:14;16,66875;5,981274445;0;0;2,440668743;7,122173741;0;0;0;0;6,902757199;0;2,300919066;23,00919066
R1008;23-9-2015;07:14;6,6675;5,981274445;0;11,46968002;4,881337486;1,424434748;0;0;0;0;0;6,760939267;0;23,66328744
R1008;24-9-2015;07:14;6,6675;9,968790742;0;11,46968002;0;7,122173741;0;0;0;0;0;2,70985727;2,70985727;29,80842997
R1008;25-9-2015;07:14;3,33375;3,987516297;0;11,46968002;2,440668743;1,424434748;0;0;0;0;0;3,776008302;0;18,88004151
